Clock Speed,4.00E+09,,,,,,,,,,,
,,,,,,,,,,,,
nFiles,Size,Checks,R/F,Print,nProc,Time,FPS,FPS/core,pCycles,Throughput,pCycles/file,pC/MB
46,57.14678192138672,Y,R,N,6,17.605252742767334,0.38272288571233337,0.06378714761872223,422526065826.416,3.2460074704047637,9185349257.096,7393698325.964512
1,2.1455307006835938,Y,R,Y,1,1.3697433471679688,1.3697433471679688,1.3697433471679688,5478973388.671875,1.5663742445762665,5478973388.671875,2553668137.6436157
1,2.1455307006835938,Y,R,Y,1,1.4481005668640137,1.4481005668640137,1.4481005668640137,5792402267.456055,1.4816171955031583,5792402267.456055,2699752683.8513756
1,2.1455307006835938,Y,R,Y,1,1.4882159233093262,1.4882159233093262,1.4882159233093262,5952863693.237305,1.441679709966149,5952863693.237305,2774541371.671189
46,57.14678192138672,Y,R,Y,6,18.982162475585938,0.41265570599099866,0.06877595099849977,455571899414.0625,3.010551721643228,9903736943.783968,7971960696.592933
46,57.14678192138672,Y,R,Y,6,18.790446519851685,0.40848796782286273,0.06808132797047713,450970716476.4404,3.041267904996958,9803711227.748705,7891445525.258323
46,57.14678192138672,Y,R,Y,6,17.62486982345581,0.3831493439881698,0.0638582239980283,422996875762.93945,3.2423945534811116,9195584255.716076,7401936933.996214
46,57.14678192138672,Y,R,Y,6,18.089603424072266,0.3932522483493971,0.06554204139156618,434150482177.7344,3.1590953423191213,9438053960.38553,7597111640.948886
123,118.83451652526855,Y,R,Y,1,155.32299828529358,1.2627886039454763,1.2627886039454763,621291993141.1743,0.7650799806671009,5051154415.781905,5228211560.982494
46,56.69181823730469,Y,R,Y,6,18.2146155834198,0.39596990398738696,0.06599498399789783,437150774002.0752,3.1124356140082083,9503277695.697287,7711002885.323206
46,56.69181823730469,Y,R,Y,6,17.781272649765015,0.38654940542967425,0.06442490090494571,426750543594.36035,3.188288001312093,9277185730.312181,7527550832.962126
46,56.69181823730469,Y,R,Y,1,64.8981237411499,1.4108287769815195,1.4108287769815195,259592494964.5996,0.8735509590912588,5643315107.926079,4579011628.767641
2,1.5302276611328125,Y,R,Y,6,1.7072827816009521,0.8536413908004761,0.1422735651334127,40974786758.42285,0.8962942036455662,20487393379.211426,26776922022.236626
2,1.5302276611328125,Y,R,Y,6,1.3801143169403076,0.6900571584701538,0.1150095264116923,33122743606.567383,1.1087687754194913,16561371803.283691,21645631201.07693
2,1.5302276611328125,Y,R,Y,6,1.4730770587921143,0.7365385293960571,0.12275642156600952,35353849411.01074,1.0387967499728494,17676924705.50537,23103653337.986736
